"487";"věk";"1914";""
"488";"pokus";"1913";""
"489";"výbor";"1912";""
"490";"strom";"1905";""
"491";"Leonardo";"1899";""
"492";"host";"1898";""
"493";"dřevo";"1898";""
"494";"zákazník";"1896";""
"495";"pomoc";"1895";""
"496";"trest";"1888";""
"497";"stroj";"1887";""
"498";"policista";"1886";""
"499";"léčba";"1884";""
"500";"cíl";"1884";""
"501";"nemocnice";"1880";""
"502";"literatura";"1880";""
"503";"využití";"1876";""
"504";"blázen";"1873";""
"505";"papež";"1872";""
"506";"náhoda";"1871";""
"507";"tip";"1870";""
"508";"moře";"1869";""
"509";"obchod";"1869";""
"510";"varianta";"1865";""
"511";"režim";"1863";""
"512";"uživatel";"1858";""
"513";"výskyt";"1852";""
"514";"nebe";"1852";""
"515";"Liberec";"1850";""
"516";"událost";"1847";""
"517";"zlato";"1844";""
"518";"chvíle";"1843";""
"519";"pokračování";"1838";""
"520";"kněz";"1835";""
"521";"komunikace";"1833";""
"522";"povrch";"1829";""
"523";"jednání";"1829";""
"524";"královna";"1823";""
"525";"dvojice";"1814";""
"526";"pojem";"1811";""
"527";"Stanislav";"1810";""
"528";"popis";"1808";""
"529";"Martina";"1808";""
"530";"závod";"1801";""
"531";"krása";"1800";""
"532";"stín";"1798";""
"533";"hejtman";"1796";""
"534";"paměť";"1796";""
"535";"výstavba";"1791";""
"536";"most";"1790";""
"537";"Francie";"1788";""
"538";"koncert";"1782";""
"539";"les";"1775";""
"540";"foto";"1772";""
"541";"rozvoj";"1770";""
"542";"veřejnost";"1770";""
"543";"Hana";"1769";""
"544";"rozšíření";"1768";""
"545";"čtenář";"1762";""
"546";"jednotka";"1762";""
"547";"poměr";"1760";""
"548";"Novák";"1754";""
"549";"Škoda";"1752";""
"550";"tabulka";"1751";""
"551";"fotografie";"1741";""
"552";"zábava";"1736";""
"553";"církev";"1732";""
"554";"Ježíš";"1730";""
"555";"tajemství";"1730";""
"556";"sto";"1718";""
"557";"zpěvák";"1711";""
"558";"Harry";"1710";""
"559";"Albert";"1709";""
"560";"poznámka";"1707";""
"561";"řeka";"1705";""
"562";"komisař";"1704";""
"563";"bod";"1704";""
"564";"léto";"1693";""
"565";"vzpomínka";"1684";""
"566";"závěr";"1682";""
"567";"úkol";"1679";""
"568";"prodej";"1675";""
"569";"tvar";"1675";""
"570";"obránce";"1674";""
"571";"liga";"1674";""
"572";"archiv";"1671";""
"573";"vítězství";"1670";""
"574";"novinka";"1669";""
"575";"fond";"1665";""
"576";"hranice";"1661";""
"577";"Freya";"1660";""
"578";"okno";"1657";""
"579";"zloděj";"1656";""
"580";"podnikatel";"1655";""
"581";"byt";"1655";""
"582";"internet";"1652";""
"583";"seznam";"1652";""
"584";"částka";"1651";""
"585";"Joe";"1650";""
"586";"účast";"1649";""
"587";"návrat";"1642";""
"588";"smysl";"1639";""
"589";"Sofie";"1637";""
"590";"román";"1636";""
"591";"Havel";"1636";""
"592";"hora";"1632";""
"593";"Ove";"1630";""
"594";"svoboda";"1629";""
"595";"kapacita";"1626";""
"596";"sůl";"1623";""
"597";"novinář";"1620";""
"598";"informace";"1616";""
"599";"plukovník";"1614";""
"600";"pokles";"1610";""
"601";"děda";"1606";""
"602";"úroveň";"1604";""
"603";"Elisabeth";"1600";""
"604";"hladina";"1599";""
"605";"sex";"1597";""
"606";"půl";"1596";""
"607";"efekt";"1595";""
"608";"vesmír";"1593";""
"609";"zázrak";"1593";""
"610";"m";"1591";""
"611";"hnutí";"1589";""
"612";"hotel";"1587";""
"613";"tvorba";"1584";""
"614";"počítač";"1584";""
"615";"dopis";"1582";""
"616";"svaz";"1582";""
"617";"Zuzana";"1580";""
"618";"Samsung";"1578";""
"619";"Rudolf";"1572";""
"620";"stůl";"1569";""
"621";"poslanec";"1567";""
"622";"knihovna";"1566";""
"623";"malíř";"1564";""
"624";"látka";"1561";""
"625";"kostel";"1560";""
"626";"ústav";"1556";""
"627";"pravidlo";"1554";""
"628";"Honza";"1553";""
"629";"plus";"1552";""
"630";"d";"1550";""
"631";"displej";"1550";""
"632";"agent";"1549";""
"633";"půda";"1541";""
"634";"zámek";"1540";""
"635";"objekt";"1540";""
"636";"redaktor";"1536";""
"637";"Sparta";"1536";""
"638";"Bob";"1536";""
"639";"Hitler";"1534";""
"640";"národ";"1534";""
"641";"pilot";"1533";""
"642";"právník";"1530";""
"643";"umělec";"1527";""
"644";"v";"1526";""
"645";"podoba";"1525";""
"646";"zaměstnanec";"1520";""
"647";"Carl";"1515";""
"648";"osobnost";"1513";""
"649";"nástroj";"1513";""
"650";"tradice";"1508";""
"651";"Filip";"1505";""
"652";"Amy";"1505";""
"653";"Jean";"1504";""
"654";"Matt";"1504";""
"655";"Hašek";"1503";""
"656";"oheň";"1502";""
"657";"Annika";"1501";""
"658";"Viktor";"1496";""
"659";"Apple";"1494";""
"660";"areál";"1494";""
"661";"kus";"1494";""
"662";"pivo";"1494";""
"663";"výměna";"1491";""
"664";"série";"1490";""
"665";"chuť";"1488";""
"666";"politik";"1487";""
"667";"výzva";"1486";""
"668";"kamarádka";"1486";""
"669";"kuchyně";"1486";""
"670";"důkaz";"1484";""
"671";"autorka";"1483";""
"672";"oko";"1483";""
"673";"domov";"1482";""
"674";"management";"1480";""
"675";"dech";"1475";""
"676";"primátor";"1473";""
"677";"hrabě";"1473";""
"678";"dohoda";"1473";""
"679";"oddělení";"1471";""
"680";"přítelkyně";"1470";""
"681";"vzdálenost";"1469";""
"682";"nesmysl";"1468";""
"683";"Charlie";"1467";""
"684";"aktivita";"1467";""
"685";"fáze";"1466";""
"686";"charakteristika";"1461";""
"687";"unie";"1460";""
"688";"Bach";"1460";""
"689";"Sobotka";"1459";""
"690";"píseň";"1459";""
"691";"řád";"1451";""
"692";"Slavia";"1450";""
"693";"hrůza";"1446";""
"694";"realita";"1446";""
"695";"Věra";"1438";""
"696";"poptávka";"1438";""
"697";"odpor";"1434";""
"698";"Hynek";"1428";""
"699";"sbor";"1423";""
"700";"Erik";"1423";""
"701";"Karl";"1422";""
"702";"součást";"1422";""
"703";"stěna";"1421";""
"704";"výchova";"1419";""
"705";"Danny";"1417";""
"706";"žák";"1416";""
"707";"Sam";"1416";""
"708";"Jitka";"1416";""
"709";"asistent";"1415";""
"710";"pravděpodobnost";"1415";""
"711";"gólman";"1414";""
"712";"ženská";"1414";""
"713";"hmota";"1410";""
"714";"Lenka";"1410";""
"715";"noha";"1410";""
"716";"lídr";"1409";""
"717";"odborník";"1408";""
"718";"příležitost";"1406";""
"719";"chudák";"1403";""
"720";"důstojník";"1402";""
"721";"sbírka";"1400";""
"722";"utkání";"1398";""
"723";"správce";"1397";""
"724";"obr";"1396";""
"725";"Hradec";"1395";""
"726";"okamžik";"1391";""
"727";"pozice";"1391";""
"728";"Lucy";"1389";""
"729";"díl";"1389";""
"730";"silnice";"1389";""
"731";"vznik";"1384";""
"732";"časopis";"1380";""
"733";"vůdce";"1380";""
"734";"kousek";"1380";""
"735";"rostlina";"1378";""
"736";"teplo";"1375";""
"737";"sklo";"1375";""
"738";"vrah";"1375";""
"739";"stanice";"1371";""
"740";"záložník";"1371";""
"741";"nálada";"1370";""
"742";"pozornost";"1370";""
"743";"trend";"1367";""
"744";"Němec";"1367";""
"745";"Leo";"1366";""
"746";"s";"1364";""
"747";"jaro";"1364";""
"748";"Novotný";"1360";""
"749";"produkce";"1359";""
"750";"Jágr";"1358";""
"751";"dostatek";"1357";""
"752";"Steve";"1354";""
"753";"Zlín";"1353";""
"754";"kontakt";"1352";""
"755";"zážitek";"1350";""
"756";"náměstí";"1343";""
"757";"Jirka";"1342";""
"758";"Markéta";"1339";""
"759";"strategie";"1337";""
"760";"Nina";"1336";""
"761";"Casey";"1333";""
"762";"plyn";"1332";""
"763";"produkt";"1332";""
"764";"Frank";"1331";""
"765";"Klára";"1329";""
"766";"fotograf";"1329";""
"767";"praxe";"1329";""
"768";"označení";"1328";""
"769";"Obama";"1328";""
"770";"Thomas";"1328";""
"771";"vědomí";"1328";""
"772";"existence";"1327";""
"773";"moment";"1325";""
"774";"vzhled";"1324";""
"775";"Kalousek";"1321";""
"776";"výše";"1320";""
"777";"konkurence";"1319";""
"778";"t";"1319";""
"779";"Libor";"1318";""
"780";"vysočina";"1318";""
"781";"zisk";"1315";""
"782";"univerzita";"1315";""
"783";"kancelář";"1315";""
"784";"místopředseda";"1315";""
"785";"průměr";"1314";""
"786";"pracovník";"1312";""
"787";"zákaz";"1310";""
"788";"Dvořák";"1310";""
"789";"alkohol";"1306";""
"790";"měsíc";"1305";""
"791";"Charles";"1303";""
"792";"historik";"1302";""
"793";"cvičení";"1300";""
"794";"Google";"1296";""
"795";"galerie";"1296";""
"796";"císař";"1292";""
"797";"nábytek";"1291";""
"798";"f";"1290";""
"799";"překvapení";"1289";""
"800";"Judith";"1288";""
"801";"snížení";"1288";""
"802";"symbol";"1283";""
"803";"restaurace";"1283";""
"804";"Patrik";"1283";""
"805";"podlaha";"1283";""
"806";"pták";"1279";""
"807";"základ";"1277";""
"808";"stránka";"1277";""
"809";"mysl";"1277";""
"810";"chlapík";"1274";""
"811";"jack";"1273";""
"812";"omezení";"1272";""
"813";"android";"1272";""
"814";"věž";"1271";""
"815";"chléb";"1268";""
"816";"biskup";"1268";""
"817";"zaměstnavatel";"1267";""
"818";"povinnost";"1265";""
"819";"letadlo";"1264";""
"820";"nakladatelství";"1264";""
"821";"kritika";"1261";""
"822";"Anita";"1261";""
"823";"obloha";"1255";""
"824";"Kamil";"1254";""
"825";"tráva";"1252";""
"826";"Kitty";"1251";""
"827";"zvýšení";"1247";""
"828";"vina";"1247";""
"829";"legenda";"1247";""
"830";"advokát";"1246";""
"831";"Pierre";"1245";""
"832";"Alex";"1245";""
"833";"Čína";"1245";""
"834";"večer";"1244";""
"835";"hodina";"1243";""
"836";"diskuse";"1243";""
"837";"týden";"1241";""
"838";"mléko";"1240";""
"839";"socha";"1240";""
"840";"potenciál";"1240";""
"841";"Ben";"1239";""
"842";"výhled";"1239";""
"843";"rozsah";"1236";""
"844";"čaj";"1236";""
"845";"komora";"1236";""
"846";"Hans";"1235";""
"847";"vysvětlení";"1234";""
"848";"Londýn";"1234";""
"849";"neděle";"1233";""
"850";"útok";"1232";""
"851";"hrad";"1232";""
"852";"Julie";"1232";""
"853";"Kate";"1228";""
"854";"výhoda";"1223";""
"855";"oprava";"1223";""
"856";"operace";"1218";""
"857";"Vojtěch";"1217";""
"858";"hokej";"1217";""
"859";"Marshall";"1215";""
"860";"Beneš";"1209";""
"861";"představení";"1209";""
"862";"průvodce";"1209";""
"863";"test";"1206";""
"864";"Ada";"1205";""
"865";"Madeleine";"1205";""
"866";"nepřítel";"1202";""
"867";"mlha";"1199";""
"868";"jedinec";"1197";""
"869";"poloha";"1189";""
"870";"střecha";"1188";""
"871";"kamera";"1185";""
"872";"úředník";"1185";""
"873";"rozum";"1185";""
"874";"nehoda";"1184";""
"875";"jádro";"1183";""
"876";"servis";"1179";""
"877";"investice";"1179";""
"878";"Amerika";"1179";""
"879";"stařec";"1178";""
"880";"byznys";"1176";""
"881";"hledání";"1174";""
"882";"koalice";"1172";""
"883";"postoj";"1172";""
"884";"vůle";"1170";""
"885";"díra";"1170";""
"886";"sobota";"1170";""
"887";"Georgia";"1168";""
"888";"Johnny";"1168";""
"889";"ryba";"1167";""
"890";"Británie";"1164";""
"891";"seriál";"1160";""
"892";"hluk";"1159";""
"893";"brána";"1158";""
"894";"průmysl";"1157";""
"895";"Bárta";"1156";""
"896";"zdraví";"1156";""
"897";"přístroj";"1156";""
"898";"Bára";"1156";""
"899";"provedení";"1155";""
"900";"hana";"1155";""
"901";"autobus";"1155";""
"902";"skladatel";"1154";""
"903";"Daniela";"1154";""
"904";"inspektor";"1153";""
"905";"Bohuslav";"1152";""
"906";"Ráchel";"1152";""
"907";"princ";"1151";""
"908";"tajemník";"1150";""
"909";"René";"1150";""
"910";"střelec";"1150";""
"911";"přechod";"1149";""
"912";"sezona";"1149";""
"913";"trasa";"1148";""
"914";"O";"1148";""
"915";"premiéra";"1143";""
"916";"expozice";"1142";""
"917";"parta";"1141";""
"918";"vazba";"1140";""
"919";"nárůst";"1140";""
"920";"revoluce";"1139";""
"921";"okolí";"1138";""
"922";"pojišťovna";"1136";""
"923";"Ivo";"1135";""
"924";"Oldřich";"1135";""
"925";"poradce";"1131";""
"926";"svatba";"1129";""
"927";"Polsko";"1128";""
"928";"Dana";"1128";""
"929";"Olga";"1126";""
"930";"rozpočet";"1125";""
"931";"dráha";"1124";""
"932";"novela";"1124";""
"933";"olej";"1123";""
"934";"psycholog";"1120";""
"935";"občan";"1120";""
"936";"anděl";"1118";""
"937";"pachatel";"1118";""
"938";"průzkum";"1116";""
"939";"Boleslav";"1116";""
"940";"místostarosta";"1114";""
"941";"Laurie";"1113";""
"942";"Eliza";"1112";""
"943";"přání";"1112";""
"944";"postel";"1110";""
"945";"čtení";"1109";""
"946";"zeď";"1108";""
"947";"tisk";"1107";""
"948";"důraz";"1104";""
"949";"Laura";"1103";""
"950";"Ivana";"1102";""
"951";"interiér";"1100";""
"952";"karta";"1098";""
"953";"běh";"1098";""
"954";"pojetí";"1097";""
"955";"Ali";"1097";""
"956";"oběť";"1092";""
"957";"souboj";"1091";""
"958";"únava";"1091";""
"959";"Bill";"1091";""
"960";"minulost";"1090";""
"961";"strýček";"1087";""
"962";"manželství";"1087";""
"963";"divák";"1086";""
"964";"signál";"1086";""
"965";"smutek";"1086";""
"966";"Itálie";"1086";""
"967";"mobil";"1085";""
"968";"zkouška";"1084";""
"969";"p";"1081";""
"970";"studio";"1081";""
"971";"Marcus";"1081";""
"972";"Andrea";"1080";""
"973";"závislost";"1080";""
"974";"Henry";"1079";""
"975";"děvče";"1078";""
"976";"l";"1078";""
"977";"projev";"1077";""
"978";"mužstvo";"1077";""
"979";"turnaj";"1077";""
"980";"r";"1076";""
"981";"Moskva";"1075";""
"982";"e-mail";"1075";""
"983";"Anne";"1072";""
"984";"soustava";"1071";""
"985";"studium";"1071";""
